Time (epoch),Longitude,Latitude,Depth (km),RMS (s),CI Year
1390297043,-125.983,44.9107,32.1242,0.3115,3
1390309704,-126.0051,44.907,31.3305,0.7367,3
1390383052,-126.0554,44.859,32.1637,0.6438,3
1390405443,-126.073,44.9124,58.311,0.2374,3
1390483871,-126.053,44.8114,69.6474,0.6525,3
1390485934,-126.0701,44.8596,33.9728,0.5695,3
1390525807,-126.0941,44.8541,20.7937,0.3565,3
1391045640,-126.0702,44.8836,37.1818,0.7875,3
1391045993,-125.9973,44.7282,84.9698,0.7054,3
1391049965,-126.0398,44.8352,70.388,0.4863,3
1391055839,-126.0739,44.8103,26.5712,1.4571,3
1391128056,-126.7644,45.4991,35.2891,1.1172,3
1391184136,-126.0823,44.9356,49.1348,0.3386,3
1391263665,-126.2656,44.9117,12.9902,0.9268,3
1391413763,-126.0897,44.2553,48.4403,0.4794,3
1391431382,-125.7472,44.4518,127.1098,1.9932,3
1391450078,-126.0823,44.9053,31.7922,0.8901,3
1391664733,-126.0684,44.9176,54.5853,0.4813,3
1391961711,-125.8709,44.037,89.2215,1.9377,3
1392109835,-126.0197,44.839,50.9019,0.8458,3
1392615891,-126.4631,45.4098,28.3322,0.1111,3
1392709849,-126.0395,44.8633,65.9773,0.8424,3
1392833479,-125.9791,44.891,74.3874,1.0293,3
1392843418,-126.0553,44.9505,34.7511,0.4255,3
1392900940,-126.099,44.9641,0,1.6287,3
1392951318,-126.0468,44.8797,56.7457,0.3155,3
1393071300,-127.4411,48.0519,30.2146,0.6531,3
1393276227,-126.2992,45.895,22.7905,0.6213,3
1393284855,-125.9112,45.0687,34.3008,0.2871,3
1393602982,-126.201,45.8709,0,0.8827,3
1393843320,-126.4927,45.9869,51.2026,0.8348,3
1393989627,-126.7524,45.475,41.7976,0.6039,3
1394260382,-126.7748,45.6578,38.8584,0.9621,3
1394384006,-126.1324,45.7151,24.576,0.3694,3
1394474327,-125.8434,45.1112,33.7339,1.0484,3
1394494506,-126.2962,44.6721,18.9108,1.4079,3
1395135291,-126.3462,45.9428,35.028,0.0853,3
1395201360,-126.1817,44.9855,0,1.666,3
1395694983,-126.4518,45.8477,0.3844,0.6974,3
1395885098,-126.2468,45.8992,32.0727,0.3541,3
1396563153,-126.7766,45.3996,34.3648,0.8814,3
1396599825,-126.1305,44.4708,34.0008,0.5838,3
1397023555,-126.3897,45.0391,0,0.8615,3
1397440476,-126.3577,45.9133,17.8723,1.4643,3
1397649491,-128.0033,49.0261,42.8356,0.2962,3
1397719888,-125.5507,45.3489,14.4483,0.1894,3
1398124720,-126.3853,45.9303,34.535,0.002,3
1398365604,-126.4151,45.5735,18.1045,0.7187,3
1399264097,-126.3051,45.684,39.6016,0.0032,3
1399691031,-125.9871,45.051,31.3091,0.704,3
1400230524,-126.4629,45.83,34.8211,0.5843,3
1400232215,-126.097,43.6325,50.6593,1.8559,3
1400437841,-126.2396,45.8825,15.4531,0.4768,3
1402611831,-126.191,45.1176,0,0.5811,3
