,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
2096,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,185524,0.4951791763305664,FS17B,S,1350143424.6994
2097,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,49681,0.5810465812683105,FS20B,P,1350143418.22608
2098,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,53197,0.9588108062744141,G10B,P,1350143424.464767
2099,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,72654,-0.38489747047424316,G19B,P,1350143431.2012
2100,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,222641,-0.06774020195007324,G26B,S,1350143456.908782
2101,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,93705,-0.5323612689971924,G27B,P,1350143440.304013
2102,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,156189,0.2349073886871338,JCC,P,1350143423.878394
2103,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,288687,0.4745824337005615,JCC,S,1350143434.218394
2104,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,155593,0.09350013732910156,KHBB,P,1350143430.99
2105,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,288126,0.3130226135253906,KHBB,S,1350143446.34
2106,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,149911,0.48270702362060547,KHMB,P,1350143427.45
2107,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,283991,0.4136316776275635,KHMB,S,1350143439.79
2108,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,154021,-0.8925991058349609,KMPB,P,1350143419.41
2109,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,150408,-0.5280489921569824,KSXB,P,1350143437.3237
2110,169,2012-10-13 15:50:09.093355+00:00,68.10439951876481,-242.68649416224335,49.609375,22,40.31207761710854,-124.69881228350519,49.609375,169,284332,-1.0935511589050293,KSXB,S,1350143456.6937
2111,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,159491,-1.171262502670288,FS09B,S,1350143804.0152
2112,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,176029,0.34977078437805176,FS16B,S,1350143806.61
2113,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,37904,-1.3704378604888916,FS17B,P,1350143798.8834
2114,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,185525,0.7704758644104004,FS17B,S,1350143807.2754
2115,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,49682,0.2725071907043457,FS20B,P,1350143800.930103
2116,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,193388,0.7316789627075195,FS20B,S,1350143807.914104
2117,170,2012-10-13 15:56:31.249838+00:00,77.41059075735379,-244.97347282337418,49.609375,8,40.29067437278576,-124.58962201226576,49.609375,170,154022,0.4659297466278076,KMPB,P,1350143802.06
