,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
37,2012-10-13T20:56:39.570Z,48.9111667,-125.734,25.658,0.67,md,5,273.0,0.1665,0.14,uw,uw60463917,2016-07-22T19:02:01.450Z,"14 km WSW of Ucluelet, Canada",earthquake,1.36,1.12,,1.0,reviewed,uw,uw,2012-10-13 20:56:39.570000+00:00
38,2012-10-13T20:25:22.770Z,40.1463333,-123.8413333,23.008,1.83,md,19,73.0,0.09279,0.14,nc,nc71859105,2017-01-28T17:12:36.220Z,"3 km NNW of Redway, California",earthquake,0.47,0.4,0.301,20.0,reviewed,nc,nc,2012-10-13 20:25:22.770000+00:00
39,2012-10-13T15:50:12.560Z,40.3093333,-124.4836667,9.461,2.29,md,16,271.0,0.1532,0.2,nc,nc71858965,2017-01-28T17:11:27.854Z,"35 km SSW of Ferndale, California",earthquake,2.05,1.02,0.104,16.0,reviewed,nc,nc,2012-10-13 15:50:12.560000+00:00
40,2012-10-13T15:31:43.730Z,40.3078333,-124.5495,10.611,2.63,md,24,238.0,0.2027,0.22,nc,nc71858955,2017-01-28T17:11:17.596Z,"38 km SW of Ferndale, California",earthquake,0.61,0.88,0.196,23.0,reviewed,nc,nc,2012-10-13 15:31:43.730000+00:00
41,2012-10-12T23:33:16.240Z,49.7508333,-123.5985,14.963,2.05,md,14,136.0,0.2419,0.15,uw,uw60463672,2016-07-22T19:01:58.450Z,"32 km W of Squamish, Canada",earthquake,0.46,0.98,0.168,8.0,reviewed,uw,uw,2012-10-12 23:33:16.240000+00:00
42,2012-10-12T20:06:01.550Z,40.48,-123.8025,4.669,1.84,md,16,90.0,0.05586,0.11,nc,nc71858390,2017-01-28T17:06:34.630Z,"15 km NE of Redcrest, California",earthquake,0.32,0.64,0.197,23.0,reviewed,nc,nc,2012-10-12 20:06:01.550000+00:00
43,2012-10-12T13:35:57.640Z,40.1475,-123.8301667,23.359,1.35,md,9,148.0,0.09009,0.11,nc,nc71858150,2017-01-28T17:04:52.402Z,"3 km N of Redway, California",earthquake,1.22,1.33,0.132,5.0,reviewed,nc,nc,2012-10-12 13:35:57.640000+00:00
44,2012-10-12T11:08:17.010Z,40.3053333,-124.5615,10.981,1.93,md,16,266.0,0.2126,0.15,nc,nc71858060,2017-01-28T17:03:59.812Z,"39 km SW of Ferndale, California",earthquake,1.41,0.61,0.084,9.0,reviewed,nc,nc,2012-10-12 11:08:17.010000+00:00
45,2012-10-11T20:44:48.540Z,46.1881667,-123.3288333,-0.317,1.25,md,7,115.0,0.1307,0.46,uw,uw60463032,2016-07-22T19:01:54.360Z,"3 km ESE of East Cathlamet, Washington",explosion,1.11,31.61,0.192,3.0,reviewed,uw,uw,2012-10-11 20:44:48.540000+00:00
46,2012-10-11T19:07:41.260Z,39.609,-123.5435,4.696,2.03,md,18,149.0,0.08288,0.08,nc,nc71857690,2017-01-28T16:58:43.427Z,"10 km SSW of Laytonville, California",earthquake,0.29,0.83,0.158,20.0,reviewed,nc,nc,2012-10-11 19:07:41.260000+00:00
47,2012-10-11T06:55:14.910Z,40.2988333,-124.5115,21.921,1.42,md,9,277.0,0.1748,0.08,nc,nc71065749,2017-01-28T16:54:09.769Z,"37 km SW of Ferndale, California",earthquake,1.8,0.54,0.157,5.0,reviewed,nc,nc,2012-10-11 06:55:14.910000+00:00
48,2012-10-11T06:54:45.380Z,40.2908333,-124.5248333,16.291,1.4,md,11,279.0,0.1865,0.15,nc,nc71065744,2017-01-28T16:54:04.305Z,"38 km SW of Ferndale, California",earthquake,1.71,0.51,0.248,6.0,reviewed,nc,nc,2012-10-11 06:54:45.380000+00:00
49,2012-10-11T06:49:38.680Z,40.2943333,-124.532,20.571,2.27,md,24,236.0,0.191,0.19,nc,nc71857335,2017-01-28T16:53:53.693Z,"38 km SW of Ferndale, California",earthquake,0.78,0.32,0.269,27.0,reviewed,nc,nc,2012-10-11 06:49:38.680000+00:00
50,2012-10-10T23:26:18.410Z,44.6065,-124.3596667,26.026,2.05,ml,8,223.0,0.2245,0.16,uw,uw60462627,2016-07-22T19:01:52.920Z,"24 km W of Newport, Oregon",earthquake,0.66,1.22,0.184,9.0,reviewed,uw,uw,2012-10-10 23:26:18.410000+00:00
51,2012-10-10T22:51:54.180Z,49.7301667,-124.5428333,11.672,0.94,md,7,167.0,0.4518,0.13,uw,uw60462597,2016-07-22T19:01:52.390Z,"11 km S of Powell River, Canada",earthquake,0.66,9.89,,1.0,reviewed,uw,uw,2012-10-10 22:51:54.180000+00:00
52,2012-10-08T10:04:09.210Z,41.0611667,-124.0045,25.617,2.27,md,20,148.0,0.0973,0.21,nc,nc71854980,2017-01-28T16:27:04.590Z,"8 km ENE of Westhaven-Moonstone, California",earthquake,0.89,0.94,0.245,26.0,reviewed,nc,nc,2012-10-08 10:04:09.210000+00:00
53,2012-10-07T13:11:05.670Z,40.7718333,-124.4018333,17.763,2.34,md,22,210.0,0.2856,0.06,nc,nc71854265,2017-01-28T16:16:44.170Z,"16 km WNW of Fields Landing, California",earthquake,0.59,0.4,0.297,24.0,reviewed,nc,nc,2012-10-07 13:11:05.670000+00:00
54,2012-10-07T12:59:59.630Z,40.3111667,-124.4366667,9.491,1.51,md,11,259.0,0.1171,0.19,nc,nc71854255,2017-01-28T16:16:32.017Z,"32 km SSW of Ferndale, California",earthquake,1.73,1.39,0.038,5.0,reviewed,nc,nc,2012-10-07 12:59:59.630000+00:00
55,2012-10-07T07:52:17.720Z,40.458,-124.1381667,18.772,2.21,md,18,90.0,0.04324,0.11,nc,nc71854110,2017-01-28T16:12:11.260Z,"4 km SW of Scotia, California",earthquake,0.41,0.35,0.172,20.0,reviewed,nc,nc,2012-10-07 07:52:17.720000+00:00
56,2012-10-06T23:42:17.630Z,41.274,-123.3806667,39.073,2.73,md,36,52.0,0.05495,0.26,nc,nc71853785,2017-01-28T16:03:37.770Z,"42 km NNE of Willow Creek, California",earthquake,0.62,0.44,0.165,29.0,reviewed,nc,nc,2012-10-06 23:42:17.630000+00:00
57,2012-10-06T20:05:17.700Z,48.198,-123.2441667,4.722,0.33,md,4,149.0,0.1725,0.17,uw,uw60473426,2016-07-22T19:01:41.920Z,"13 km NNW of Carlsborg, Washington",earthquake,1.04,14.34,0.123,2.0,reviewed,uw,uw,2012-10-06 20:05:17.700000+00:00
58,2012-10-06T12:07:22.040Z,40.6146667,-123.8631667,25.917,1.71,md,16,99.0,0.191,0.12,nc,nc71853385,2017-01-28T15:59:17.856Z,"21 km ENE of Hydesville, California",earthquake,0.66,1.54,0.139,12.0,reviewed,nc,nc,2012-10-06 12:07:22.040000+00:00
59,2012-10-05T23:07:35.790Z,42.525,-126.266,10.0,3.2,ml,23,194.8,,1.01,us,usp000jtmc,2016-07-22T19:01:40.120Z,"147 km W of Port Orford, Oregon",earthquake,,,,,reviewed,us,us,2012-10-05 23:07:35.790000+00:00
60,2012-10-05T21:45:17.630Z,40.2615,-124.3253333,6.35,1.79,md,10,236.0,0.04595,0.08,nc,nc71852945,2017-01-28T15:54:47.171Z,"31 km SW of Scotia, California",earthquake,0.78,0.59,0.053,5.0,reviewed,nc,nc,2012-10-05 21:45:17.630000+00:00
61,2012-10-05T20:51:25.370Z,43.77,-127.963,10.0,3.2,ml,74,218.6,,0.99,us,usp000jtm7,2014-11-07T01:49:03.002Z,"296 km WNW of Bandon, Oregon",earthquake,,,,,reviewed,us,us,2012-10-05 20:51:25.370000+00:00
62,2012-10-05T19:15:04.730Z,40.35,-124.5358333,23.731,2.59,md,25,244.0,0.1937,0.23,nc,nc71852850,2017-01-28T15:54:13.334Z,"34 km SW of Ferndale, California",earthquake,0.69,0.77,0.183,39.0,reviewed,nc,nc,2012-10-05 19:15:04.730000+00:00
63,2012-10-05T15:42:57.150Z,40.2883333,-124.507,19.321,1.69,md,15,254.0,0.1739,0.14,nc,nc71852735,2017-01-28T15:52:59.699Z,"38 km SSW of Ferndale, California",earthquake,0.75,0.48,0.254,9.0,reviewed,nc,nc,2012-10-05 15:42:57.150000+00:00
64,2012-10-05T14:12:05.890Z,39.9726667,-123.2791667,9.911,1.75,md,11,81.0,0.1036,0.05,nc,nc71852685,2017-01-28T15:52:12.357Z,"20 km N of Covelo, California",earthquake,0.26,0.62,0.09,14.0,reviewed,nc,nc,2012-10-05 14:12:05.890000+00:00
65,2012-10-04T05:07:26.180Z,44.6063333,-124.4763333,8.036,2.06,md,15,241.0,0.3077,0.42,uw,uw60472291,2016-07-22T19:01:35.540Z,near the coast of Oregon,earthquake,1.52,35.97,0.279,9.0,reviewed,uw,uw,2012-10-04 05:07:26.180000+00:00
66,2012-10-03T01:14:36.140Z,40.387,-124.275,23.379,2.08,md,16,145.0,0.06577,0.09,nc,nc71851530,2017-01-28T15:36:05.200Z,"18 km SW of Scotia, California",earthquake,0.79,0.69,0.262,22.0,reviewed,nc,nc,2012-10-03 01:14:36.140000+00:00
67,2012-10-02T21:45:36.820Z,40.2703333,-124.481,18.32,1.15,md,8,303.0,0.1586,0.16,nc,nc71851420,2017-01-28T15:34:36.371Z,"38 km SSW of Ferndale, California",earthquake,1.11,1.02,0.214,4.0,reviewed,nc,nc,2012-10-02 21:45:36.820000+00:00
68,2012-10-02T02:56:59.840Z,40.3288333,-125.4315,5.982,2.78,md,24,302.0,0.8477,0.38,nc,nc71851000,2017-01-28T15:27:48.622Z,"102 km WSW of Ferndale, California",earthquake,13.2,11.72,0.099,33.0,reviewed,nc,nc,2012-10-02 02:56:59.840000+00:00
69,2012-10-02T02:37:36.170Z,40.3243333,-125.3935,0.908,2.79,md,49,280.0,0.8198,0.47,nc,nc71850975,2017-01-28T15:27:21.743Z,"99 km WSW of Ferndale, California",earthquake,10.72,6.13,0.154,41.0,reviewed,nc,nc,2012-10-02 02:37:36.170000+00:00
