station,phase,C,n_obs
UW.ATES,S,0.7134736840956221,69
UW.BABR,P,0.8427659371681178,1103
UW.BABR,S,0.9049445455396783,597
UW.BBO,P,1.358056168044885,49
UW.BBO,S,0.5803791659132461,28
UW.BHW,P,0.8383071347215264,751
UW.BHW,S,1.2074657472445829,548
UW.BLN,P,1.2734343942220587,4088
UW.BLN,S,1.4208705796706624,3864
UW.BOW,P,0.8155067157604627,1009
UW.BOW,S,0.9569805099074963,756
UW.BRO,P,0.8983933468750278,40
UW.BRO,S,0.25929147230419103,15
UW.BUO,P,1.1461733438901665,31
UW.BUO,S,1.07274319505216,9
UW.CDF,P,0.47710596667780303,2159
UW.CDF,S,0.25934943447266706,2501
UW.CMW,P,0.9975432332999907,1773
UW.CMW,S,0.5429674933275906,1472
UW.CPW,P,0.047926861829613844,443
UW.CPW,S,0.30744662547277934,453
UW.DOSE,P,-0.286340639209019,138
UW.DOSE,S,0.6661391258357132,284
UW.EDM,P,0.8254682531555257,2717
UW.EDM,S,1.113638277706843,3017
UW.ELK,P,0.7108439325424069,4806
UW.ELK,S,0.7917774144214987,5305
UW.FISH,P,1.1091180539408636,214
UW.FISH,S,0.47135886079651745,203
UW.FL2,P,-0.5359457904736078,5052
UW.FL2,S,0.4781371341829023,5232
UW.FORK,P,0.8609081620525906,392
UW.FORK,S,0.585045812642738,474
UW.GHW,P,0.16640932837047553,681
UW.GHW,S,-0.1829324428564359,628
UW.GMW,P,0.814600245124207,1915
UW.GMW,S,0.08058767891737141,1529
UW.GNW,P,-0.6232352833073164,460
UW.GNW,S,0.09755658300203753,569
UW.GRCC,P,0.9713247109261677,79
UW.GRCC,S,0.37477497966765794,76
UW.HBO,P,2.8083108281856055,48
UW.HBO,S,2.324519444841294,16
UW.HDW,P,2.9224468066994542,1908
UW.HDW,S,2.8072436899580095,1701
UW.HEBO,P,-0.36108413046195714,225
UW.HEBO,S,0.44008341852984423,186
UW.HSO,P,2.292739189600485,354
UW.HSO,S,2.3627422273632384,104
UW.HSR,P,1.3864524982988522,2510
UW.HSR,S,2.7885610968551955,1713
UW.JEDS,P,2.293763928710632,2061
UW.JEDS,S,1.974349293249487,1180
UW.JUN,P,1.0451182738454832,1785
UW.JUN,S,1.466413233428136,1768
UW.KMO,P,2.7127213820911074,979
UW.KMO,S,2.1549509268254146,672
UW.KOS,P,1.9610757750370926,900
UW.KOS,S,1.4301474411342234,722
UW.LCW,P,-0.7579928128341528,2002
UW.LCW,S,-0.19010384025636573,1523
UW.LEBA,P,-0.5543983930987764,333
UW.LEBA,S,-0.180855731530327,384
UW.LMW,P,-0.2741306142668286,513
UW.LMW,S,0.8553126065150605,216
UW.LRIV,P,0.19663473264359982,1372
UW.LRIV,S,0.3589548775063599,1682
UW.LVP,P,-0.2373240354398502,5369
UW.LVP,S,-0.33392098569222195,4656
UW.MCW,P,0.5085553377731347,3308
UW.MCW,S,0.5043147681423328,2088
UW.MEGW,P,-0.5201154684028236,47
UW.MEGW,S,0.25338790699639463,37
UW.MEW,P,0.13652714778362632,12
UW.MEW,S,-0.48958579591170875,3
UW.MPO,P,-0.18231157773000123,303
UW.MPO,S,-0.4639135022849245,245
UW.MTM,P,-0.15145238846759915,3569
UW.MTM,S,-0.5672122572180989,2601
UW.NLO,P,0.17935090741262208,572
UW.NLO,S,0.290998248115832,164
UW.OBC,P,-0.48387094092913147,517
UW.OBC,S,0.8312530237577707,237
UW.OCP,P,0.051271227635873565,474
UW.OCP,S,1.100981936854279,437
UW.OFR,P,0.17235667819282088,196
UW.OFR,S,1.0584702764263139,281
UW.ON2,P,0.6641541149908534,349
UW.ON2,S,-0.17891159125363446,164
UW.OOW,P,0.03319290143255199,314
UW.OOW,S,-0.18598004375648672,111
UW.OSD,P,-0.5098989023432389,680
UW.OSD,S,1.0642883010350148,446
UW.OSR,P,0.2625642898717546,350
UW.OSR,S,-0.3851526121496379,138
UW.OTR,P,1.0177698790932501,293
UW.OTR,S,-0.594200504949018,187
UW.PASS,P,0.28699462353962424,449
UW.PASS,S,-0.11422736950527575,480
UW.PCFR,P,0.6667787177749965,1250
UW.PCFR,S,1.1972633471723226,1069
UW.PCMD,P,1.307554646122737,278
UW.PCMD,S,0.648453772866716,203
UW.PGO,P,1.2220480668035854,44
UW.PGO,S,0.5625025754458494,32
UW.RADR,P,0.35234805720492657,619
UW.RADR,S,0.9113470797882214,623
UW.RNO,P,0.7498448025558243,510
UW.RNO,S,0.8125278794206721,299
UW.RRHS,P,0.10816674702190171,240
UW.RRHS,S,0.1456543957681094,231
UW.RVW,P,0.9391034696501985,1824
UW.RVW,S,0.38026317279326477,1611
UW.SBES,P,1.0696909527754583,190
UW.SBES,S,1.1282139331486056,64
UW.SHW,P,0.21808133564206922,2753
UW.SHW,S,1.047402004234658,1597
UW.SMW,P,-1.3697055416886148,928
UW.SMW,S,0.9012126272599862,797
UW.SOS,P,0.214816047832322,2590
UW.SOS,S,0.6055660547573982,2971
UW.SP2,P,0.7953642130472542,67
UW.SP2,S,0.07393550086913721,56
UW.SQM,P,-0.3239872707435188,384
UW.SQM,S,-0.5756038245025235,281
UW.SSO,P,0.9688082652534202,23
UW.SSO,S,-0.27056756591080194,11
UW.STD,P,0.5115250477758014,1776
UW.STD,S,0.005037517233161033,1135
UW.STW,P,0.1931383296561894,225
UW.STW,S,0.6153621891443677,167
UW.SVOH,P,0.3707209586455878,441
UW.SVOH,S,0.20638921833660964,359
UW.TAKO,P,-0.5222655763190784,145
UW.TAKO,S,0.26210407707539823,163
UW.TDL,P,0.014690250079052782,4766
UW.TDL,S,0.46291461745328827,4557
UW.UMPQ,P,-0.3793013936124343,227
UW.UMPQ,S,0.7584504244700121,89
UW.UWFH,P,0.5262857716938412,519
UW.UWFH,S,-1.1696867231234844,430
UW.VG2,P,-0.5295610499944153,66
UW.VG2,S,-0.8273043247443427,27
UW.VLM,P,-0.7489329955199403,16
UW.VLM,S,-1.2752178098878408,6
UW.VVHS,P,-1.0972303972355086,134
UW.VVHS,S,-1.05354506835106,86
UW.WISH,P,-1.3576244335255094,440
UW.WISH,S,-0.7171188010187292,314
UW.WPO,P,-0.6475767519146406,17
UW.WPO,S,-1.5957447813236203,11
UW.YACT,P,-1.103360024785722,745
UW.YACT,S,-1.5354449252833182,962
X9.BB030,P,-1.2688376430017176,889
X9.BB030,S,-0.9698771753661356,1099
X9.BB060,P,-1.459059475747693,637
X9.BB060,S,-0.5165663898881413,983
X9.BB070,P,-1.5498358455223296,858
X9.BB070,S,-1.05145186134628,1127
X9.BB090,P,-0.43617292732853274,926
X9.BB090,S,-0.5727964612591359,881
Z5.BB630,P,-1.1673612040932266,331
Z5.BB630,S,-0.7719174932865538,260
Z5.BB631,P,-1.4974604821105941,315
Z5.BB631,S,-0.4322925957750284,459
Z5.GB030,P,-0.03429552678380272,9
Z5.GB030,S,-0.6777168267230975,27
Z5.GB050,P,-0.3592589274440218,205
Z5.GB050,S,0.5364256952518204,298
Z5.GB080,P,-0.21875697469042207,736
Z5.GB080,S,0.24250376629727063,1917
Z5.GB100,P,0.4547499024269632,768
Z5.GB100,S,0.11365614502802521,1199
Z5.GB101,P,0.41798789953783916,1801
Z5.GB101,S,-1.13212820111425,2457
Z5.GB130,P,0.7472107106321004,67
Z5.GB130,S,0.5545770583478178,90
Z5.GB210,P,0.39325710144810677,2129
Z5.GB210,S,0.6335735637959112,3448
Z5.GB220,P,-0.10937003882172282,1322
Z5.GB220,S,0.4918486811527092,2280
Z5.GB260,P,0.04306111215176739,2076
Z5.GB260,S,0.23615882776337574,4131
Z5.GB281,P,0.7333317398813558,3296
Z5.GB281,S,-0.5112780965920264,4445
Z5.GB320,P,-0.05428552032659675,1716
Z5.GB320,S,0.6644931156243783,2898
Z5.GB321,P,0.39469753399912816,3
Z5.GB321,S,1.2679777203577034,18
Z5.GB330,P,1.726650338938717,1182
Z5.GB330,S,0.2825328120298749,2352
Z5.GB331,P,-0.38734321874085814,2306
Z5.GB331,S,0.22783939793799288,3212
Z5.GB380,P,-0.06937063747215709,1199
Z5.GB380,S,0.149752798996419,2420
