station,phase,C,n_obs
7D.J19D,P,-0.4246857690156323,592
7D.J19D,S,-0.46994713649421643,569
7D.J25A,P,-0.6851471214297782,126
7D.J25A,S,0.2539818855073801,113
7D.J25B,P,0.12519111430171093,342
7D.J25B,S,0.05948538056009128,618
7D.J25C,P,0.24752943664547844,103
7D.J25C,S,-1.3793039044936317,115
7D.J25D,P,-1.0674850464299068,463
7D.J25D,S,0.12974267898496517,359
7D.J26C,P,-0.6610285339586931,68
7D.J26C,S,0.0013782178023942638,148
7D.J26D,P,0.2191055825208931,231
7D.J26D,S,1.0307852813851652,549
7D.J27B,P,-0.779588124346925,264
7D.J27B,S,-0.7177918330559864,419
7D.J27D,P,0.19497258757344726,370
7D.J27D,S,-0.8475936333154566,499
7D.J33A,P,-1.099530889763649,197
7D.J33A,S,-0.6285759296661976,139
7D.J33B,P,-0.4140811888345226,322
7D.J33B,S,-0.8152812456722688,885
7D.J33C,P,0.7292569284507721,141
7D.J33C,S,-0.5564972264291186,103
7D.J34A,P,1.0272083717584515,15
7D.J34A,S,-0.49205849694386544,12
7D.J34C,P,-0.5769014022200958,78
7D.J34C,S,-0.1098133994003059,185
7D.J35A,P,-0.08146221008623242,160
7D.J35A,S,0.32856332353192136,221
7D.J35C,P,-0.3699452042218788,186
7D.J35C,S,-0.7773605908649394,276
7D.J37A,P,-0.32780772380196865,131
7D.J37A,S,-0.7178109913650285,132
7D.J37C,P,-0.25391326856832547,203
7D.J37C,S,-0.13413867269219099,219
7D.J38A,P,-1.197448343742713,155
7D.J38A,S,-0.9564155307564833,186
7D.J38C,P,-0.4343580456265506,429
7D.J38C,S,0.8467517364441204,585
7D.J41A,P,0.8714010080777307,169
7D.J41A,S,1.242798387519398,216
7D.J41C,P,-0.31007007568113354,61
7D.J41C,S,-0.8098939925892304,121
7D.J42A,P,-0.6600371742878731,159
7D.J42A,S,-1.1465174082773961,272
7D.J42C,P,0.08183854685304937,139
7D.J42C,S,-0.32914647815913595,194
7D.J43A,P,-0.35795929608857935,95
7D.J43A,S,-0.7111187439468653,192
7D.J43C,P,-0.7154125294602326,133
7D.J43C,S,-1.0192214256293184,224
7D.J44A,P,-0.25293321168081045,156
7D.J44A,S,-0.6817856512875305,191
7D.J44C,P,-0.008929523940988449,139
7D.J44C,S,-0.6212040128985787,170
7D.J45A,P,0.17433176682048018,146
7D.J45A,S,-1.4675160276553703,168
7D.J45C,P,-0.9317497936852399,294
7D.J45C,S,-0.8173142145194218,357
7D.J46A,P,-0.8660163715319519,77
7D.J46A,S,0.13855154814438883,110
7D.J46C,P,-0.6387385791131883,362
7D.J46C,S,-0.447885549439419,509
7D.J49A,P,-0.3564438865679094,385
7D.J49A,S,0.8473195044604203,448
7D.J49C,P,-0.7235061943330956,345
7D.J49C,S,-0.6716263429265965,384
7D.J50A,P,-0.7726180559205051,147
7D.J50A,S,-0.8394065888043376,189
7D.J50C,P,-0.6761631300321559,95
7D.J50C,S,-0.35606885787637277,107
7D.J51A,P,-0.44390919660820133,135
7D.J51A,S,-0.24822610786754495,357
7D.J52A,P,-0.25227513036305543,118
7D.J52A,S,0.04363368339401627,196
7D.J52C,P,-0.980756692792317,160
7D.J52C,S,-1.1388344021935557,322
7D.J53A,P,-0.49594136488850227,105
7D.J53A,S,-0.7793741139183017,238
7D.J53C,P,-0.7153384086096669,435
7D.J53C,S,-1.132298226437577,680
7D.J54A,P,-0.1516931682393315,181
7D.J54A,S,1.3666078836866096,315
7D.J54C,P,0.7228835914789078,356
7D.J54C,S,-0.31785778609855636,439
7D.J57A,P,-0.17200922510117103,46
7D.J57A,S,-0.8272105999244561,25
7D.J57C,P,-0.6044165354084536,70
7D.J57C,S,-0.22644571429966412,69
7D.J58A,P,0.3873968922873478,77
7D.J58A,S,0.7993523324699602,97
7D.J58C,P,-0.24336949644202138,168
7D.J58C,S,1.3175698944419647,360
7D.J59A,P,-0.3043229151964188,67
7D.J59A,S,-0.6469390373641748,228
7D.J59C,P,-0.9223861651619735,60
7D.J59C,S,0.21210801940417867,215
7D.J61A,P,-0.19412022267206763,260
7D.J61A,S,0.03208971544315495,390
7D.J61C,P,0.7968431978598067,361
7D.J61C,S,-0.0755974930530773,690
7D.J65A,P,0.18730331198155045,53
7D.J65A,S,-0.5574906396364627,29
7D.J65C,P,-0.3093429815250936,46
7D.J65C,S,0.9553760842013047,43
7D.J67A,P,0.7575805216840243,201
7D.J67A,S,0.4638270329110181,411
7D.J67C,P,0.5800552882469532,225
7D.J67C,S,0.8455599046049825,461
7D.J68A,P,-0.27514839810021613,207
7D.J68A,S,-0.2566710088645905,287
7D.J68C,P,0.2604165013502708,422
7D.J68C,S,0.4090239148165581,597
7D.J69C,P,0.15974446901222272,197
7D.J69C,S,-0.7160831832399038,255
7D.J73A,P,-0.07040357548766035,70
7D.J73A,S,-0.08233321578160879,99
7D.J73C,P,-0.4236800487136342,74
7D.J73C,S,-0.677564320068253,79
7D.M01A,P,-0.2948282593978441,211
7D.M01A,S,-0.1907385490329992,153
7D.M01C,P,-0.07002833964889478,241
7D.M01C,S,0.524179725540345,153
7D.M02A,P,-0.4140327480857512,1
7D.M02A,S,0.49107108039330744,10
7D.M02C,P,-0.006377648161187143,32
7D.M02C,S,0.3381854561575171,70
7D.M03A,P,-0.5006351155090881,91
7D.M03A,S,0.13580280143151316,199
7D.M03C,P,-0.09339681981229896,153
7D.M03C,S,0.32878573166023983,272
7D.M04C,P,-0.636392290839881,25
7D.M04C,S,-0.1033233280343911,77
7D.M05C,P,-0.7227720538511291,177
7D.M05C,S,-0.2635112292134542,141
7D.M06C,P,-0.9714680309718184,146
7D.M06C,S,-0.63851435501115,165
7D.M07A,P,-0.6164156455136134,182
7D.M07A,S,-0.1456626341193222,128
7D.M08A,P,-0.7777011313752253,376
7D.M08A,S,-0.2813099662665188,146
7D.M08C,P,0.7251271610585786,111
7D.M08C,S,1.0399711742286892,107
7D.M09B,P,1.355709069428038,480
7D.M09B,S,1.1442992982775606,755
7D.M11B,P,0.36152006534076236,236
7D.M11B,S,0.9496770828030435,444
7D.M12B,P,0.678131877564744,388
7D.M12B,S,1.121288473903027,641
7D.M13B,P,0.7557300805457248,18
7D.M13B,S,0.07703673066218837,11
7D.M13D,P,-0.8529836411696409,19
7D.M13D,S,-0.4401146683428647,22
7D.M14B,P,1.008581792395283,262
7D.M14B,S,0.9230263337943775,853
7D.M14D,P,0.22784674511295744,203
7D.M14D,S,-0.8862313569583813,411
7D.M15D,P,0.3479427992951649,521
7D.M15D,S,0.6037461736831378,664
7D.M16D,P,0.6865939536214536,612
7D.M16D,S,0.8647396952633964,1324
7D.M17D,P,-2.920917766973444,868
7D.M17D,S,0.1641517960949644,1566
BK.JCC,P,0.794582795497914,12820
BK.JCC,S,2.0926657162009743,9442
C8.MWAB,P,0.6724212225059916,4
C8.MWAB,S,1.174053505230286,9
C8.PA01,P,-1.4512525280385657,192
C8.PA01,S,-1.1801477065344752,283
C8.PA02,P,-0.5300654484253519,159
C8.PA02,S,0.26068212179776773,313
C8.PA05,P,0.4426430719667929,36
C8.PA05,S,1.4254696752899636,45
C8.PA12,P,0.5807528563774246,260
C8.PA12,S,0.7046596319578096,331
C8.SOKB,P,0.5210606654167047,29
C8.SOKB,S,0.8413112033288418,33
C8.SPLB,P,0.27903742033608453,11
C8.SPLB,S,0.7825887689079162,10
C8.TOFB,P,-0.8076573724420886,118
C8.TOFB,S,-1.0540306238979202,144
CN.ALB,P,-0.5910498071195472,207
CN.ALB,S,-0.9230770539135991,238
CN.BFSB,P,-0.4776386743272576,429
CN.BFSB,S,-0.868053678592901,557
CN.BIB,P,-1.0765855301803722,1985
CN.BIB,S,-0.7148880001479806,1122
CN.BMSB,P,0.8301086194550543,37
CN.BMSB,S,-0.9520188304169065,59
CN.BPBC,P,-0.5969498628061637,1250
CN.BPBC,S,0.6206954819531595,890
CN.BTB,P,-1.1359001865670264,2539
CN.BTB,S,-0.39436971108077895,2230
CN.CLRS,P,-0.8415867705404417,785
CN.CLRS,S,1.4920501568259816,697
CN.EDB,P,-0.8783935681851576,1772
CN.EDB,S,-1.481671133230416,1612
CN.ETB,P,-0.9579636578828518,498
CN.ETB,S,-0.9895854775539699,294
CN.GDR,P,0.3347579844484384,962
CN.GDR,S,0.13344120535569337,580
CN.GOBB,P,-0.10428510237969049,1846
CN.GOBB,S,1.1604657548438657,1190
CN.HNB,P,0.3789194081475391,384
CN.HNB,S,1.2312757462016857,395
CN.LZB,P,-0.10759101268718071,3384
CN.LZB,S,-0.05346786306020863,3788
CN.NLLB,P,0.4973372801881866,1785
CN.NLLB,S,0.8991069384383998,2222
CN.NTKA,P,1.3493250163414316,514
CN.NTKA,S,0.1118470032829336,549
CN.OZB,P,0.8999400182675498,1840
CN.OZB,S,-0.7511443641568244,2026
CN.PFB,P,-1.4943069801158755,3296
CN.PFB,S,-0.3948292339005862,3289
CN.PGC,P,-0.044726617146874134,2251
