,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
29,86989,2014-04-24T03:23:33.950Z,49.4739,-127.6726,10.0,4.3,mb,,,,1.2,us,usb000qqtk,2014-07-14T20:11:12.000Z,"112 km WSW of Vernon, Canada",earthquake,,1.9,0.266,4.0,reviewed,pgc,us,2014-04-24 03:23:33.950000+00:00
30,88760,2014-05-21T04:04:19.620Z,49.1976667,-126.5495,9.477,2.75,ml,10.0,220.0,0.5633,0.19,uw,uw60777937,2016-07-22T19:29:06.400Z,"47 km W of Tofino, Canada",earthquake,2.19,31.61,0.171,16.0,reviewed,uw,uw,2014-05-21 04:04:19.620000+00:00
31,88997,2014-05-25T11:21:43.490Z,48.2033333,-122.7125,55.871,3.11,ml,49.0,32.0,0.101,0.24,uw,uw60783282,2022-06-16T09:15:58.764Z,"2 km SW of Coupeville, Washington",earthquake,0.41,0.76,0.2,117.0,reviewed,uw,uw,2014-05-25 11:21:43.490000+00:00
32,92410,2014-07-16T09:04:19.910Z,48.3756667,-124.5146667,28.414,1.8,ml,15.0,95.0,0.1073,0.21,uw,uw60819162,2016-07-22T19:32:12.660Z,"8 km E of Neah Bay, Washington",earthquake,0.64,1.2,0.081,8.0,reviewed,uw,uw,2014-07-16 09:04:19.910000+00:00
33,93963,2014-08-01T22:40:55.900Z,48.6773,-123.4938,46.7,2.6,ml,,115.0,0.036,0.4,us,usb000rzd9,2016-07-22T19:35:20.720Z,"5 km WNW of North Saanich, Canada",earthquake,,4.2,0.2,30.0,reviewed,uw,uw,2014-08-01 22:40:55.900000+00:00
34,96099,2014-08-27T03:41:17.580Z,48.2305,-124.5025,-0.082,1.13,md,7.0,121.0,0.05803,0.57,uw,uw60863691,2016-07-22T19:36:54.470Z,"15 km WSW of Sekiu, Washington",earthquake,1.56,2.07,0.08,5.0,reviewed,uw,uw,2014-08-27 03:41:17.580000+00:00
35,96100,2014-08-27T03:43:17.380Z,48.225,-124.5025,2.848,1.21,md,7.0,123.0,0.05552,0.53,uw,uw60863696,2016-07-22T19:36:54.720Z,"15 km WSW of Sekiu, Washington",earthquake,1.37,1.06,0.325,5.0,reviewed,uw,uw,2014-08-27 03:43:17.380000+00:00
36,98922,2014-10-08T23:26:15.500Z,48.4798333,-124.6963333,15.829,1.5,md,10.0,156.0,0.1882,0.1,uw,uw60888712,2016-07-22T19:39:52.910Z,"13 km NNW of Neah Bay, Washington",earthquake,0.35,0.78,0.032,7.0,reviewed,uw,uw,2014-10-08 23:26:15.500000+00:00
37,98989,2014-10-10T04:14:29.540Z,48.5011667,-124.652,15.329,1.57,md,18.0,133.0,0.1565,0.56,uw,uw60889977,2016-07-22T19:39:55.940Z,"14 km N of Neah Bay, Washington",earthquake,1.09,1.94,0.097,10.0,reviewed,uw,uw,2014-10-10 04:14:29.540000+00:00
38,103123,2014-11-23T18:15:49.500Z,47.6098,-125.0027,20.8,2.5,ml,,212.0,0.449,1.05,us,usb000szdd,2016-07-22T19:41:47.860Z,"51 km W of Queets, Washington",earthquake,6.8,8.3,0.2,19.0,reviewed,uw,uw,2014-11-23 18:15:49.500000+00:00
39,107398,2015-01-10T16:59:13.660Z,47.7971667,-124.7316667,23.057,3.04,ml,25.0,202.0,0.1872,0.41,uw,uw60946547,2016-07-22T19:43:27.190Z,"30 km WSW of Forks, Washington",earthquake,1.26,1.6,0.146,107.0,reviewed,uw,uw,2015-01-10 16:59:13.660000+00:00
