,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
755,755,55,2012-10-05 21:45:13.349491+00:00,34.4420187545027,-193.95905313837304,49.609375,14,40.00273023504189,-124.346653181365,49.609375,55,158535,-0.3673782348632812,FS09B,S,1349473533.279598,2012-10-05 21:45:13.349491+00:00
792,792,57,2012-10-06 03:27:13.925541+00:00,15.761601802908014,-142.1319288828126,43.359375,10,40.47002892490598,-124.56414410817516,43.359375,57,984,-0.279097318649292,FS09B,P,1349494040.839,2012-10-06 03:27:13.925541+00:00
811,811,59,2012-10-06 12:07:20.818895+00:00,76.47295689559076,-123.84000267496772,40.234375,16,40.63136576659187,-123.84609353164016,40.234375,59,1058,-0.1051170825958252,FS09B,P,1349525254.999,2012-10-06 12:07:20.818895+00:00
860,860,63,2012-10-06 20:59:27.716134+00:00,2.9188151486866696,-136.79678373885787,45.703125,17,40.51821847547,-124.71555760162448,45.703125,63,1101,-0.0641205310821533,FS09B,P,1349557174.599,2012-10-06 20:59:27.716134+00:00
913,913,66,2012-10-07 00:59:33.479315+00:00,14.594075743433349,-96.4021133632004,49.609375,22,40.8818519081404,-124.57684902026908,49.609375,66,8083,0.300398588180542,FS13B,P,1349571584.0337,2012-10-07 00:59:33.479315+00:00
950,950,69,2012-10-07 07:52:16.561372+00:00,54.28996176557205,-137.55894733085142,49.609375,20,40.50958477794447,-124.10945565988044,49.609375,69,1173,-0.8647904396057129,FS09B,P,1349596347.3785,2012-10-07 07:52:16.561372+00:00
1033,1033,77,2012-10-07 13:11:02.854488+00:00,23.93428421923069,-95.63994977120689,49.609375,22,40.88849537502768,-124.46600410059736,49.609375,77,158778,-0.0355188846588134,FS09B,S,1349615482.1985,2012-10-07 13:11:02.854488+00:00
1116,1116,85,2012-10-07 22:57:53.081186+00:00,96.32089990666007,-92.59129540323272,38.671875,10,40.91063006343144,-123.6067188909768,38.671875,85,158825,0.5254275798797607,FS09B,S,1349650704.8985,2012-10-07 22:57:53.081186+00:00
1228,1228,97,2012-10-08 10:04:06.850898+00:00,61.29511812242006,-72.77504201140077,45.703125,23,41.09242582707256,-124.02045132100794,45.703125,97,1338,0.727797269821167,FS09B,P,1349690663.9979,2012-10-08 10:04:06.850898+00:00
1495,1495,123,2012-10-10 03:37:49.352937+00:00,-5.253867267636005,-119.26702112300649,39.453125,24,40.67606707105301,-124.81214229823158,39.453125,123,1543,0.2087855339050293,FS09B,P,1349840276.736901,2012-10-10 03:37:49.352937+00:00
1654,1654,136,2012-10-11 06:54:42.853413+00:00,18.09665392185735,-163.47250945863163,45.703125,13,40.27779764047993,-124.53721544167844,45.703125,136,159195,-0.2658071517944336,FS09B,S,1349938496.3363,2012-10-11 06:54:42.853413+00:00
1683,1683,138,2012-10-11 07:10:20.349564+00:00,-57.79253994399605,-153.56438276271558,41.015625,14,40.36522133131414,-125.430412553619,41.015625,138,10171,0.5196683406829834,FS13B,P,1349939431.2755,2012-10-11 07:10:20.349564+00:00
1741,1741,143,2012-10-11 18:58:50.833019+00:00,2.9188151486866696,-135.27245655487076,43.359375,18,40.53194561744529,-124.71555057428009,43.359375,143,1765,-0.0890564918518066,FS09B,P,1349981937.4363,2012-10-11 18:58:50.833019+00:00
1828,1828,149,2012-10-12 07:19:07.303142+00:00,72.97037871716672,-118.50485753101296,41.015625,13,40.67972082516865,-123.88687035233374,41.015625,149,49517,1.030911207199097,FS20B,P,1350026365.076809,2012-10-12 07:19:07.303142+00:00
1903,1903,153,2012-10-12 20:06:02.802685+00:00,88.14821749033743,-126.12649345094832,44.921875,12,40.609616316594376,-123.7084326386786,44.921875,153,1884,-1.001321792602539,FS09B,P,1350072377.7358,2012-10-12 20:06:02.802685+00:00
1947,1947,158,2012-10-13 05:26:09.341721+00:00,5.253867267636005,-136.0346201468643,48.828125,16,40.52507055026642,-124.68799737132,48.828125,158,1945,-0.0128157138824462,FS09B,P,1350105976.7952,2012-10-13 05:26:09.341721+00:00
2099,2099,171,2012-10-14 02:39:42.479646+00:00,20.431706040806688,-170.3319817865734,49.609375,18,40.21596930616904,-124.50997788192446,49.609375,171,2109,1.1694939136505127,FS09B,P,1350182392.7547,2012-10-14 02:39:42.479646+00:00
2117,2117,172,2012-10-14 03:07:59.642082+00:00,46.11727934924938,-104.02374928313576,49.609375,14,40.81205534999605,-124.203417786049,49.609375,172,159573,0.0406708717346191,FS09B,S,1350184100.6947,2012-10-14 03:07:59.642082+00:00
2385,2385,196,2012-10-15 13:11:03.772285+00:00,4.086341208161337,-139.08327451483848,45.703125,25,40.49762277722307,-124.7017953909737,45.703125,196,2354,-0.1952557563781738,FS09B,P,1350306670.4942,2012-10-15 13:11:03.772285+00:00
2444,2444,200,2012-10-15 19:24:30.578549+00:00,11.091497565009345,-104.78591287512933,42.578125,15,40.80641189714721,-124.61855437706112,42.578125,200,2377,0.4837312698364258,FS09B,P,1350329080.3342,2012-10-15 19:24:30.578549+00:00
2459,2459,201,2012-10-15 22:03:35.412881+00:00,-0.5837630297373338,-134.51029296287726,44.921875,16,40.53881410723341,-124.75689058880924,44.921875,201,2404,0.013817548751831,FS09B,P,1350338622.2742,2012-10-15 22:03:35.412881+00:00
2637,2637,218,2012-10-17 03:05:35.510149+00:00,19.26417998133202,-133.7481293708837,49.609375,21,40.54545406447688,-124.52258820906212,49.609375,218,2549,0.0913608074188232,FS09B,P,1350443143.9931,2012-10-17 03:05:35.510149+00:00
2693,2693,221,2012-10-17 03:50:13.920168+00:00,11.091497565009345,-85.73182307529088,44.921875,34,40.97798980174839,-124.61821436818482,44.921875,221,159951,0.7045738697052002,FS09B,S,1350445834.2731,2012-10-17 03:50:13.920168+00:00
2805,2805,229,2012-10-18 07:35:18.231996+00:00,-5.253867267636005,-133.7481293708837,39.453125,15,40.54566121810712,-124.81202161229398,39.453125,229,2710,-0.1986305713653564,FS09B,P,1350545724.1525,2012-10-18 07:35:18.231996+00:00
2827,2827,231,2012-10-18 09:25:55.274966+00:00,-1.7512890892120017,49.17113270756508,49.609375,14,42.19269116315403,-124.77120196046374,49.609375,231,194048,-0.939568281173706,FS20B,S,1350552406.441276,2012-10-18 09:25:55.274966+00:00
2852,2852,233,2012-10-18 11:15:25.319996+00:00,15.761601802908014,-165.7590002346122,12.890625,8,40.25725334360345,-124.564727559347,12.890625,233,2740,-0.0409820079803466,FS09B,P,1350558930.1725,2012-10-18 11:15:25.319996+00:00
2866,2866,235,2012-10-18 13:40:31.694400+00:00,68.30027447926805,-105.54807646712284,41.015625,17,40.796785314479976,-123.9406925140612,41.015625,235,13785,0.3033814430236816,FS13B,P,1350567645.7767,2012-10-18 13:40:31.694400+00:00
2883,2883,236,2012-10-18 14:54:26.315361+00:00,-2.9188151486866696,-139.08327451483848,37.109375,15,40.49762770116728,-124.78443186642332,37.109375,236,2773,-0.5191795825958252,FS09B,P,1350572071.3725,2012-10-18 14:54:26.315361+00:00
2956,2956,243,2012-10-19 09:07:49.770675+00:00,-0.5837630297373338,-145.18058325078675,49.609375,28,40.4427235243503,-124.75688076742608,49.609375,243,2856,-0.6382086277008057,FS09B,P,1350637676.372,2012-10-19 09:07:49.770675+00:00
3005,3005,245,2012-10-19 11:10:12.607503+00:00,21.599232100281355,-155.85087353869625,49.609375,24,40.34635216082018,-124.49577443556964,49.609375,245,2868,0.0564970970153808,FS09B,P,1350645021.172,2012-10-19 11:10:12.607503+00:00
3094,3094,252,2012-10-20 00:55:58.990796+00:00,-148.85957258302014,-118.50485753101296,12.109375,16,40.66952369637297,-126.51048409166611,12.109375,252,2931,0.5596857070922852,FS09B,P,1350694583.1115,2012-10-20 00:55:58.990796+00:00
3125,3125,254,2012-10-20 02:54:37.064521+00:00,-148.85957258302014,-20.94791775584029,10.546875,9,41.5475506911075,-126.53410162529632,10.546875,254,2936,-1.0704634189605713,FS09B,P,1350701706.5115,2012-10-20 02:54:37.064521+00:00
3288,3288,267,2012-10-21 00:28:09.416903+00:00,-48.45233146819872,-164.9968366426187,32.421875,10,40.262863749099424,-125.3195868531863,32.421875,267,160308,0.2089719772338867,FS09B,S,1350779304.7509,2012-10-21 00:28:09.416903+00:00
3298,3298,268,2012-10-21 01:58:05.383576+00:00,-4.086341208161337,-108.59673083509698,24.609375,20,40.77216033222469,-124.79840246320396,24.609375,268,3080,-0.2584302425384521,FS09B,P,1350784692.0309,2012-10-21 01:58:05.383576+00:00
3419,3419,277,2012-10-21 17:11:39.970576+00:00,6.421393327110673,-146.7049104347738,46.484375,17,40.42897160695684,-124.67432698052671,46.484375,277,3169,0.0661547183990478,FS09B,P,1350839507.0709,2012-10-21 17:11:39.970576+00:00
3436,3436,278,2012-10-21 17:53:25.327616+00:00,5.253867267636005,-137.55894733085142,46.484375,19,40.51134339747418,-124.68801001617834,46.484375,278,160366,-0.2130005359649658,FS09B,S,1350842017.1509,2012-10-21 17:53:25.327616+00:00
3464,3464,280,2012-10-21 20:40:05.936388+00:00,63.63017024136939,-91.06696821924564,49.609375,28,40.927549046167165,-123.99454487862988,49.609375,280,3180,1.0193665027618408,FS09B,P,1350852022.1109,2012-10-21 20:40:05.936388+00:00
3503,3503,282,2012-10-21 21:35:18.789835+00:00,69.46780053874274,-97.16427695519393,33.203125,9,40.87217487855238,-123.92592530883422,33.203125,282,207412,1.0560426712036133,G17B,S,1350855338.0026,2012-10-21 21:35:18.789835+00:00
3528,3528,284,2012-10-21 23:03:11.811373+00:00,7.58891938658534,-147.4670740267673,49.609375,28,40.42209810033942,-124.6605773544598,49.609375,284,3187,-0.4695918560028076,FS09B,P,1350860598.8509,2012-10-21 23:03:11.811373+00:00
3669,3669,294,2012-10-22 13:52:21.221399+00:00,29.771914516604028,-159.6616914986639,49.609375,14,40.31178235416571,-124.39975989300598,49.609375,294,3278,-0.1452400684356689,FS09B,P,1350913950.3704,2012-10-22 13:52:21.221399+00:00
3683,3683,295,2012-10-22 21:07:27.045129+00:00,-5.253867267636005,-175.66712693052818,0.390625,9,40.16815395127001,-124.81167667227928,0.390625,295,3317,0.2236449718475341,FS09B,P,1350940051.7904,2012-10-22 21:07:27.045129+00:00
3711,3711,298,2012-10-22 23:35:11.467088+00:00,-48.45233146819872,-126.88865704294186,43.359375,14,40.60603067507166,-125.32248996710808,43.359375,298,160481,0.1974208354949951,FS09B,S,1350948928.1504,2012-10-22 23:35:11.467088+00:00
3735,3735,300,2012-10-23 05:14:47.301421+00:00,-0.5837630297373338,-104.78591287512933,44.921875,25,40.80648656081129,-124.7569181993307,44.921875,300,3353,0.1867883205413818,FS09B,P,1350969296.6699,2012-10-23 05:14:47.301421+00:00
3760,3760,301,2012-10-23 05:47:42.565187+00:00,4.086341208161337,-106.31024005911635,49.609375,20,40.79275012084523,-124.70158258752907,49.609375,301,3359,0.0135374069213867,FS09B,P,1350971272.1499,2012-10-23 05:47:42.565187+00:00
3848,3848,307,2012-10-24 01:53:19.883424+00:00,-0.5837630297373338,-136.79678373885787,43.359375,16,40.51822340297628,-124.7568884802424,43.359375,307,3461,-0.5792555809020996,FS09B,P,1351043605.8493,2012-10-24 01:53:19.883424+00:00
3921,3921,313,2012-10-24 19:36:38.148309+00:00,6.421393327110673,-155.85087353869625,49.609375,18,40.346606849650165,-124.67441910543548,49.609375,313,3534,0.2265784740447998,FS09B,P,1351107406.0093,2012-10-24 19:36:38.148309+00:00
3981,3981,320,2012-10-25 13:23:36.667842+00:00,61.29511812242006,-93.35345899522626,42.578125,19,40.90713968096666,-124.0224915861352,42.578125,320,17043,-0.4380378723144531,FS13B,P,1351171430.0779,2012-10-25 13:23:36.667842+00:00
4090,4090,330,2012-10-26 00:03:40.643439+00:00,-21.599232100281355,-91.82913181123918,49.609375,21,40.92287551645831,-125.00642177475662,49.609375,330,17224,0.1675927639007568,FS13B,P,1351209831.4203,2012-10-26 00:03:40.643439+00:00
4223,4223,341,2012-10-26 12:09:35.846730+00:00,-4.086341208161337,-145.18058325078675,45.703125,18,40.44271369543105,-124.79816536407426,45.703125,341,3741,-0.7595679759979248,FS09B,P,1351253381.7282,2012-10-26 12:09:35.846730+00:00
4241,4241,342,2012-10-26 12:26:57.762580+00:00,-2.9188151486866696,-144.4184196587932,40.234375,14,40.44958227491696,-124.78440733410314,40.234375,342,3742,-0.7452666759490967,FS09B,P,1351254422.9082,2012-10-26 12:26:57.762580+00:00
4310,4310,349,2012-10-26 20:42:51.827085+00:00,-83.47811325243876,12.58728029187532,48.046875,28,41.85892763808496,-125.7553488243316,48.046875,349,160867,1.0430426597595217,FS09B,S,1351284219.1282,2012-10-26 20:42:51.827085+00:00
4338,4338,350,2012-10-26 22:21:17.144085+00:00,-19.26417998133202,-146.7049104347738,41.796875,28,40.42877348710951,-124.97701830716797,41.796875,350,3818,-0.6764304637908936,FS09B,P,1351290083.0282,2012-10-26 22:21:17.144085+00:00
4384,4384,353,2012-10-27 02:10:17.609411+00:00,14.594075743433349,-162.71034586663808,49.609375,19,40.28472987696742,-124.57838199880489,49.609375,353,3843,1.243856430053711,FS09B,P,1351303827.1677,2012-10-27 02:10:17.609411+00:00
4462,4462,359,2012-10-27 11:29:20.557685+00:00,5.253867267636005,-133.7481293708837,44.140625,13,40.54566121810712,-124.68797838770602,44.140625,359,161026,-0.4458720684051513,FS09B,S,1351337371.8677,2012-10-27 11:29:20.557685+00:00
4488,4488,361,2012-10-27 15:58:39.715881+00:00,-57.79253994399605,-152.04005557872853,37.890625,9,40.37894786990108,-125.4305506284984,37.890625,361,17948,0.4046108722686767,FS13B,P,1351353530.2748,2012-10-27 15:58:39.715881+00:00
4519,4519,364,2012-10-27 18:42:01.779480+00:00,-123.17399927457744,-151.27789198673503,0.390625,8,40.37871715783058,-126.20044187672752,0.390625,364,161103,-0.0102801322937011,FS09B,S,1351363353.9477,2012-10-27 18:42:01.779480+00:00
4527,4527,365,2012-10-28 01:12:44.067026+00:00,-46.11727934924938,-116.21836675503232,37.109375,33,40.7022476212946,-125.29568356742172,37.109375,365,4101,0.2956702709197998,FS09B,P,1351386774.0072,2012-10-28 01:12:44.067026+00:00
4751,4751,384,2012-10-30 01:39:09.926640+00:00,56.62501388452139,-95.63994977120689,25.390625,15,40.8868880491413,-124.07812535701548,25.390625,384,18752,0.0650348663330078,FS13B,P,1351561162.4461,2012-10-30 01:39:09.926640+00:00
4948,4948,401,2012-10-31 04:38:06.622325+00:00,-42.61470117082538,-160.42385509065747,28.515625,8,40.30436275167498,-125.2512686788083,28.515625,401,4563,0.1832780838012695,FS09B,P,1351658294.485501,2012-10-31 04:38:06.622325+00:00
4980,4980,405,2012-10-31 15:29:51.521419+00:00,93.98584778771075,-87.25615025927796,49.609375,25,40.95893393323792,-123.63362133217996,49.609375,405,4611,-0.3150453567504883,FS09B,P,1351697410.005501,2012-10-31 15:29:51.521419+00:00
5005,5005,406,2012-10-31 16:13:43.579286+00:00,6.421393327110673,-113.16971238705815,32.421875,17,40.73096564059636,-124.67398591593846,32.421875,406,161564,0.2170076370239257,FS09B,S,1351700036.145501,2012-10-31 16:13:43.579286+00:00
